evaluation_role,dataset,holdout,method,method_group,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,support_size,feature_dim,selected_configs,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,chrono_late_train_early_eval,F0_V1_baseline,baseline,heldout_47_51,5,0.705273963806188,0.7560938824515404,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,32,100,none,0.7552862800075673,0.036121500004082915,101.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F0_V1_baseline,baseline,main_42_46,5,0.705273963806188,0.7560938824515404,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0,0.6798015178050204,0.6798015178050204,0.0018,0.0018,1.0,-3.203347693811287,32,100,none,0.7411973200039939,0.03399782000342384,101.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,32,64,none,0.4091554999933578,0.025327140011359005,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F1_V2_top64_baseline,baseline,main_42_46,5,0.9932267950963223,0.9883133894403848,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0,0.9500875656742557,0.9500875656742557,0.0089,0.0089,1.0,-2.8655547549506384,32,64,none,0.3905686600017361,0.022963839990552515,65.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.7413222708698189,0.7863313268107066,0.8330267801353528,0.7157034442498541,0.7078225335668418,0.0,0.7078225335668418,0.7078225335668418,0.0018,0.0018,1.0,2.074290030850686,32,2,alpha_0.50,7.195997750386596e-05,0.09932688000844792,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.7413222708698189,0.7863313268107066,0.8330267801353528,0.7157034442498541,0.7078225335668418,0.0,0.7078225335668418,0.7078225335668418,0.0018,0.0018,1.0,2.074290030850686,32,2,alpha_0.50,7.237999234348536e-05,0.09769782000221312,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.7247998248686516,0.7710313715817919,0.8182447555934956,0.706071220081728,0.6970227670753065,0.0,0.6970227670753065,0.6970227670753065,0.0016,0.0016,1.0,-3.3084989160797433,32,5,residual_C_1.0,0.021560560003854333,0.10355805999133735,6.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F3_residual_lr_selected,targeted_fusion_retry,main_42_46,5,0.7247998248686516,0.7710313715817919,0.8182447555934956,0.706071220081728,0.6970227670753065,0.0,0.6970227670753065,0.6970227670753065,0.0016,0.0016,1.0,-3.3084989160797433,32,5,residual_C_1.0,0.02073090000776574,0.09740513999713585,6.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,targeted_fusion_retry,heldout_47_51,5,0.997993169877408,0.9850156589724801,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.0,0.9497956800934034,0.9497956800934034,0.002,0.002,1.0,2.8155561495617247,32,2,beta_1.00,0.00011938000097870827,0.11731904000043869,0.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,F4_conservative_max_selected,targeted_fusion_retry,main_42_46,5,0.997993169877408,0.9850156589724801,0.9318483837752687,0.9778166958552248,0.9497956800934034,0.0,0.9497956800934034,0.9497956800934034,0.002,0.002,1.0,2.8155561495617247,32,2,beta_1.00,5.5819994304329154e-05,0.09827724000206217,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F0_V1_baseline,baseline,heldout_47_51,5,0.39120140949554894,0.40456989791595277,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,-3.126371385544741,32,100,none,0.6057568999822251,0.033060600003227594,101.0,1.0
consistency,harder_holdout,holdout_bin_2,F0_V1_baseline,baseline,main_42_46,5,0.39120140949554894,0.40456989791595277,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,-3.126371385544741,32,100,none,0.5942434600088745,0.03506253998493776,101.0,1.0
consistency,harder_holdout,holdout_bin_2,F1_V2_top64_baseline,baseline,heldout_47_51,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,32,64,none,0.39043444000417366,0.022004020016174762,65.0,1.0
consistency,harder_holdout,holdout_bin_2,F1_V2_top64_baseline,baseline,main_42_46,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,32,64,none,0.38282297998666764,0.02185767999617383,65.0,1.0
consistency,harder_holdout,holdout_bin_2,F2_linear_alpha_selected,targeted_fusion_retry,heldout_47_51,5,0.5968088724035608,0.588332013838149,0.7461133560979973,0.5186943620178042,0.48857566765578636,0.11797538176860886,0.4250741839762611,0.6965875370919882,0.0012000000000000001,0.0025,1.0,2.00161459237513,32,2,alpha_0.50;alpha_0.60;alpha_0.80,7.418000604957342e-05,0.10072265998460353,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F2_linear_alpha_selected,targeted_fusion_retry,main_42_46,5,0.5395925519287834,0.5327505814777552,0.7176721888373618,0.4586053412462908,0.434272997032641,0.020569171306377875,0.4250741839762611,0.4710682492581602,0.00088,0.0009,1.0,2.010398123076434,32,2,alpha_0.50;alpha_0.60,7.59399845264852e-05,0.09877424000296742,0.0,1.0
consistency,harder_holdout,holdout_bin_2,F3_residual_lr_selected,targeted_fusion_retry,heldout_47_51,5,0.46240719584569734,0.46470246086077244,0.6909585017073498,0.4094955489614243,0.3805637982195846,0.0,0.3805637982195846,0.3805637982195846,0.0013,0.0013,1.0,-3.3388087232441643,32,5,residual_C_1.0,0.02164422001224011,0.09937979998067022,6.0,1.0
